beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url;metar_station;url.pilot_info;keywords;facility_type;freqs.FIS_NAME;freqs.FIS_FREQUENCY
;Ameland;;;;;;;[{'id': '08/26', 'dimension': '2920x82', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': , 'number': ['08', '26'], 'length': 2624, 'width': 82, 'TORA': , 'TODA': , 'ASDA': '2624', 'LDA': , '08': {'latlon': [53.4516983032, 5.6772198677], 'elevation': 11.0, 'heading': '08', 'displaced threshold': }, '26': {'latlon': [53.4516983032, 5.6772198677], 'elevation': 11.0, 'heading': '26', 'displaced threshold': }, 'slope': 0, 'properties': , 'dimension2': ['2920 x 82 feet', '890 x 25 meters'], 'length_m': 799, 'width_m': 24}];Ameland Airport;53.4516983032;;Netherlands;EHAL;;;;5.6772198677;;;;Europe/Amsterdam;public;Friesland;;;Ameland (EHAL);NL;;;11.0;False;False;False;118.355;;;118.355;;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Ameland_Airport;http://www.ehal.nl/;https://geohack.toolforge.org/geohack.php?pagename=Ameland_Airport&params=53_27_06_N_005_40_38_E_region:NL_type:airport;https://upload.wikimedia.org/wikipedia/commons/8/8f/Ameland_airport.jpg;;False;;;;;
B;Amsterdam;;AMS;6.0;2E;6240.0;Amsterdam/Schiphol Airport;[{'id': '18R/36L', 'dimension': '12468x197', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 18R displaced 886 ft (270 m)', 'lighted': True}, 'alignment': , 'number': ['18R', '36L'], 'length': 12468, 'width': '197', 'TORA': , 'TODA': , 'ASDA': '12468', 'LDA': , '18R': {'latlon': [52.367222222222225, 4.719444444444445], 'elevation': '-13', 'heading': '182', 'displaced threshold': '886 Feet'}, '36L': {'latlon': [52.33638888888889, 4.714722222222222], 'elevation': '-12', 'heading': '002', 'displaced threshold': ''}, 'dimension2': ['12467 x 197 feet', '3800 x 60 meters'], 'slope': 0, 'properties': , 'length_m': 3800, 'width_m': 60}, {'id': '06/24', 'dimension': '11483x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 06 displaced 820 ft (250 m)', 'lighted': True}, 'alignment': , 'number': ['06', '24'], 'length': 11483, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '11483', 'LDA': , '06': {'latlon': [52.293055555555554, 4.739722222222222], 'elevation': '-11', 'heading': '057', 'displaced threshold': '801 Feet'}, '24': {'latlon': [52.30722222222222, 4.783888888888889], 'elevation': '-12', 'heading': '237', 'displaced threshold': ''}, 'dimension2': ['11283 x 148 feet', '3439 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 3500, 'width_m': 45}, {'id': '09/27', 'dimension': '11329x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 09 displaced 294 ft (90 m)', 'lighted': True}, 'alignment': , 'number': ['09', '27'], 'length': 11329, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '11329', 'LDA': , '09': {'latlon': [52.31666666666667, 4.7572222222222225], 'elevation': '-12', 'heading': '086', 'displaced threshold': '295 Feet'}, '27': {'latlon': [52.31944444444445, 4.805833333333333], 'elevation': '-12', 'heading': '266', 'displaced threshold': ''}, 'dimension2': ['11329 x 148 feet', '3453 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 3453, 'width_m': 45}, {'id': '18L/36R', 'dimension': '11155x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 18L displaced 1,887 ft (575 m)', 'lighted': True}, 'alignment': , 'number': ['18L', '36R'], 'length': 11155, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '11155', 'LDA': , '18L': {'latlon': [52.32694444444444, 4.788333333333333], 'elevation': '-12', 'heading': '182', 'displaced threshold': '1886 Feet'}, '36R': {'latlon': [52.295833333333334, 4.7844444444444445], 'elevation': '-11', 'heading': '002', 'displaced threshold': ''}, 'dimension2': ['11155 x 148 feet', '3400 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 3400, 'width_m': 45}, {'id': '18C/36C', 'dimension': '10827x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 36C displaced 1,476 ft (450 m)', 'lighted': True}, 'alignment': , 'number': ['18C', '36C'], 'length': 10827, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '10827', 'LDA': , '18C': {'latlon': [52.34111111111111, 4.7444444444444445], 'elevation': '-12', 'heading': '182', 'displaced threshold': ''}, '36C': {'latlon': [52.30972222222222, 4.740555555555556], 'elevation': '-12', 'heading': '002', 'displaced threshold': '1476 Feet'}, 'dimension2': ['10827 x 148 feet', '3300 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 3300, 'width_m': 45}, {'id': '04/22', 'dimension': '6608x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': True}, 'alignment': , 'number': ['04', '22'], 'length': 6608, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '6608', 'LDA': , '04': {'latlon': [52.300555555555555, 4.783611111111111], 'elevation': '-13', 'heading': '040', 'displaced threshold': }, '22': {'latlon': [52.32333333333333, 4.805], 'elevation': '-14', 'heading': '220', 'displaced threshold': }, 'dimension2': ['6627 x 148 feet', '2020 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 2014, 'width_m': 45}];Amsterdam Schiphol Airport;52.3083;;Netherlands;EHAM;1.0;52.0;L;4.7567;ARP;Intl;NH;Europe/Amsterdam;public;North Holland;0.0;7.0;Amsterdam (EHAM);NL;;;-11.0;True;True;True;119.230;122.200;121.560;119.230;119.055;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHAM&format=json;https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol;https://www.schiphol.nl/;;;;True;;;;;
;Weert;;;;;;;[{'id': '03/21', 'dimension': '3934x75', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 03 displaced 164 ft (50 m)', 'lighted': True}, 'alignment': , 'number': ['03', '21'], 'length': 3934, 'width': 75, 'TORA': , 'TODA': , 'ASDA': '3934', 'LDA': , '03': {'latlon': [51.253055555555555, 5.607777777777778], 'elevation': '115', 'heading': '028', 'displaced threshold': '164 Feet'}, '21': {'latlon': [51.26611111111111, 5.608888888888888], 'elevation': '111', 'heading': '208', 'displaced threshold': '443 Feet'}, 'dimension2': ['3934 x 75 feet', '1199 x 23 meters'], 'slope': 0, 'properties': 'Concrete/Asphalt', 'length_m': 1199, 'width_m': 22}, {'id': '03G/21G', 'dimension': '1969x99', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': , 'number': ['03G', '21G'], 'length': 1969, 'width': 99, 'TORA': , 'TODA': , 'ASDA': '', 'LDA': , '': {'latlon': [, ], 'elevation': , 'heading': '', 'displaced threshold': }, 'dimension2': ['1969 x 99 feet', '600 x 30 meters'], 'slope': 0, 'properties': , 'length_m': 600, 'width_m': 30}];Budel Airport;51.2552986145;;Netherlands;EHBD;;;;5.601389885;;;;Europe/Amsterdam;public;North Brabant;;;Weert (EHBD);NL;;;114.0;False;False;False;;;;;;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Kempen_Airport;;https://geohack.toolforge.org/geohack.php?pagename=Kempen_Airport&params=51_15_16_N_005_36_03_E_type:airport_region:NL;;;False;;;;;
;Maastricht;;MST;1.0;;6380.0;Maastricht/Aachen Airport;[{'id': '03/21', 'dimension': '9022x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 03 displaced 820 ft (250 m)', 'lighted': True}, 'alignment': '031', 'number': ['03', '21'], 'length': 9022, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '9022', 'LDA': , '03': {'latlon': [50.903055555555554, 5.766666666666667], 'elevation': '365', 'heading': '031', 'displaced threshold': '820 Feet'}, '21': {'latlon': [50.92027777777778, 5.7844444444444445], 'elevation': '371', 'heading': '211', 'displaced threshold': '820 Feet'}, 'dimension2': ['9022 x 148 feet', '2750 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 2749, 'width_m': 45}];Maastricht/Aachen Airport;50.9113;;Netherlands;EHBK;4.0;0.0;L;5.7696;ARP;Intl;LI;Europe/Amsterdam;public;Limburg;0.0;736.0;Maastricht (EHBK);NL;;;375.0;True;True;True;119.480;124.580;121.830;119.480;120.205;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHBK&format=json;https://en.wikipedia.org/wiki/Maastricht_Aachen_Airport;https://www.maa.nl/en/;https://geohack.toolforge.org/geohack.php?pagename=Maastricht_Aachen_Airport&params=50_54_57_N_005_46_37_E_region:NL_type:airport;https://upload.wikimedia.org/wikipedia/commons/c/ce/Passagiersterminal.jpg;;True;;;;;
;Arnhem;;;1.0;;6275.0;Deelen;[{'id': '01/19', 'dimension': '3431x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': }, 'alignment': , 'number': ['01', '19'], 'length': 3431, 'width': '164', 'TORA': , 'TODA': , 'ASDA': '3431', 'LDA': , '01': {'latlon': [52.0725, 5.878611111111112], 'elevation': '151', 'heading': '015', 'displaced threshold': ''}, '19': {'latlon': [52.07222222222222, 5.883888888888889], 'elevation': '158', 'heading': '195', 'displaced threshold': '895 Feet'}, 'dimension2': ['3431 x 164 feet', '1046 x 50 meters'], 'slope': 0, 'properties': , 'length_m': 1045, 'width_m': 49}, {'id': '02/20', 'dimension': '9678x164', 'surface': {'type': 'hard', 'surface': , 'condition': 'Threshold of Runway 02 displaced 895 ft (273 m)', 'lighted': True}, 'alignment': , 'number': ['02', '20'], 'length': 9678, 'width': 164, 'TORA': , 'TODA': , 'ASDA': '', 'LDA': , '': {'latlon': [, ], 'elevation': , 'heading': '', 'displaced threshold': }, 'dimension2': ['9678 x 164 feet', '2950 x 50 meters'], 'slope': 0, 'properties': , 'length_m': 2949, 'width_m': 49}];Deelen;52.0632;;Netherlands;EHDL;3.0;0.0;M;5.8788;ARP;Intl;GE;Europe/Amsterdam;military;Gelderland;0.0;737.0;Arnhem (EHDL);NL;;;158.0;True;True;True;129.930;133.555;129.930;129.930;120.305;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHDL&format=json;https://en.wikipedia.org/wiki/Deelen_Air_Base;;;;;True;;;;;
;Venray;;;;;;;[{'id': '06/24', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': }, 'alignment': , 'number': ['06', '24'], 'length': 2988, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '2988', 'LDA': , '06': {'latlon': [51.5172996521, 5.8557200432], 'elevation': 98.0, 'heading': '06', 'displaced threshold': }, '24': {'latlon': [51.5172996521, 5.8557200432], 'elevation': 98.0, 'heading': '24', 'displaced threshold': }, 'slope': 0, 'properties': 'Concrete/asphalt', 'length_m': 910, 'width_m': 45}];De Peel Air Base;51.5172996521;;Netherlands;EHDP;;;;5.8557200432;;;;Europe/Amsterdam;public;North Brabant;;;Venray (EHDP);NL;;;98.0;False;False;False;121.925;;;121.925;;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Lieutet_General_Best_Barracks;;https://geohack.toolforge.org/geohack.php?pagename=Lieutet_General_Best_Barracks&params=51_31_34_N_005_51_34_E_type:airport;;;False;;;;;
;Drachten;;;;;;;[{'id': '07/25', 'dimension': '2395x79', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 25 displaced 394 ft (120 m)', 'lighted': False}, 'alignment': , 'number': ['07', '25'], 'length': 3117, 'width': 79, 'TORA': , 'TODA': , 'ASDA': '3117', 'LDA': , '07': {'latlon': [53.1192016602, 6.129720211], 'elevation': 14.0, 'heading': '07', 'displaced threshold': }, '25': {'latlon': [53.1192016602, 6.129720211], 'elevation': 14.0, 'heading': '25', 'displaced threshold': }, 'slope': 0, 'properties': 'Asphalt/Concrete', 'dimension2': ['2395 x 79 feet', '730 x 24 meters'], 'length_m': 950, 'width_m': 24}];Drachten Airport;53.1192016602;;Netherlands;EHDR;;;;6.129720211;;;;Europe/Amsterdam;public;Friesland;;;Drachten (EHDR);NL;;;14.0;False;False;False;119.655;;;119.655;;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Drachten_Airfield;;https://geohack.toolforge.org/geohack.php?pagename=Drachten_Airfield&params=53_07_05_N_006_07_45_E_type:airport_region:NL;https://upload.wikimedia.org/wikipedia/commons/f/fb/Vliegveld_Drachten_2010.jpg;;False;;;;;
;Lemelerveld;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': 'soft', 'surface': , 'condition': }, 'alignment': , 'number': [''], 'length': '3900', 'width': '50', 'TORA': , 'TODA': , 'ASDA': '', 'LDA': , '': {'latlon': [52.4683333333, 6.3333333333], 'elevation': 10.0, 'heading': '', 'displaced threshold': }, 'dimension2': , 'slope': 0, 'properties': , 'length_m': 1188, 'width_m': 15}];Aero Club Salland;52.4683333333;;Netherlands;EHDS;;;;6.3333333333;;;;Europe/Amsterdam;;Overijssel;;;Lemelerveld (EHDS);NL;;;10.0;False;False;False;;;;;;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];;;;;;;False;;;;;
B;Eindhoven;;EIN;1.0;;6370.0;Eindhoven Airport;[{'id': '03/21', 'dimension': '9843x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 03 displaced 821 ft (250 m)', 'lighted': True}, 'alignment': , 'number': ['03', '21'], 'length': 9843, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '9843', 'LDA': , '03': {'latlon': [51.44583333333333, 5.373611111111111], 'elevation': '73', 'heading': '033', 'displaced threshold': '797 Feet'}, '21': {'latlon': [51.46555555555556, 5.385833333333334], 'elevation': '67', 'heading': '213', 'displaced threshold': '797 Feet'}, 'dimension2': ['9843 x 148 feet', '3000 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 3000, 'width_m': 45}];Eindhoven Airport;51.45;;Netherlands;EHEH;5.0;6.0;L;5.3745;ARP;Intl;NB;Europe/Amsterdam;military;North Brabant;0.0;198.0;Eindhoven (EHEH);NL;;military/ public;74.0;True;True;True;131.005;126.030;121.930;131.005;123.180;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHEH&format=json;https://en.wikipedia.org/wiki/Eindhoven_Airport;http://www.eindhovenairport.nl/;;;;True;;;;;
;Groningen;;GRQ;1.0;;6280.0;Groningen Airport;[{'id': '05/23', 'dimension': '8202x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': True}, 'alignment': , 'number': ['05', '23'], 'length': 8202, 'width': '148', 'TORA': , 'TODA': , 'ASDA': '8202', 'LDA': , '05': {'latlon': [53.11833333333333, 6.5680555555555555], 'elevation': '13', 'heading': '050', 'displaced threshold': }, '23': {'latlon': [53.13055555555555, 6.595], 'elevation': '13', 'heading': '230', 'displaced threshold': }, 'dimension2': ['8202 x 148 feet', '2500 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 2499, 'width_m': 45}, {'id': '01/19', 'dimension': '4922x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': True}, 'alignment': , 'number': ['01', '19'], 'length': 4922, 'width': 148, 'TORA': , 'TODA': , 'ASDA': '', 'LDA': , '': {'latlon': [, ], 'elevation': , 'heading': '', 'displaced threshold': }, 'dimension2': ['4922 x 148 feet', '1500 x 45 meters'], 'slope': 0, 'properties': , 'length_m': 1500, 'width_m': 45}];Groningen Airport;53.1225;;Netherlands;EHGG;3.0;0.0;L;6.5814;ARP;Intl;DR;Europe/Amsterdam;public;Drenthe;0.0;738.0;Groningen (EHGG);NL;;;17.0;True;True;True;118.705;133.555;121.705;118.705;120.305;;;AMSTERDAM INFO;['124.300'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHGG&format=json;https://en.wikipedia.org/wiki/Groningen_Airport_Eelde;http://www.groningenairport.nl/en/travel-information/home-journey/;https://geohack.toolforge.org/geohack.php?pagename=Groningen_Airport_Eelde&params=53_07_30_N_06_35_00_E_region:NL_type:airport;https://upload.wikimedia.org/wikipedia/commons/a/a1/Luchtfoto_Groningen_Airport.jpg;;True;;;;;
